time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,12
0.333,0.0,0.0,2.5,2.5,12
0.417,0.0,0.0,2.5,2.5,12
0.5,0.0,2.5,5.0,2.5,12
0.583,2.5,2.5,5.0,5.0,12
0.667,2.5,2.5,5.0,5.0,12
0.75,2.5,2.5,7.5,5.0,12
0.833,5.0,5.0,7.5,5.0,12
0.917,5.0,5.0,7.5,7.5,12
1.0,5.0,5.0,10.0,7.5,12
1.083,7.5,5.0,10.0,7.5,12
1.167,7.5,7.5,10.0,7.5,12
1.25,7.5,7.5,12.5,7.5,12
1.333,10.0,7.5,12.5,7.5,12
1.417,12.5,7.5,12.5,7.5,12
1.5,12.5,7.5,15.0,7.5,12
1.583,12.5,7.5,15.0,10.0,12
1.667,15.0,7.5,17.5,10.0,12
1.75,15.0,10.0,17.5,10.0,12
1.833,17.5,10.0,17.5,10.0,12
1.917,17.5,10.0,17.5,10.0,11
2.0,17.5,10.0,20.0,10.0,11
2.083,17.5,10.0,20.0,12.5,11
2.167,17.5,10.0,22.5,12.5,11
2.25,17.5,12.5,22.5,12.5,11
2.333,20.0,12.5,22.5,15.0,11
2.417,20.0,12.5,22.5,15.0,11
2.5,20.0,12.5,25.0,15.0,11
2.583,20.0,12.5,25.0,17.5,11
2.667,20.0,17.5,25.0,17.5,11
2.75,22.5,17.5,25.0,20.0,11
2.833,22.5,17.5,27.5,20.0,11
2.917,22.5,17.5,27.5,20.0,11
3.0,22.5,20.0,27.5,22.5,11
3.083,22.5,22.5,27.5,22.5,10
3.167,22.5,22.5,27.5,22.5,10
3.25,25.0,22.5,30.0,25.0,10
3.333,25.0,25.0,30.0,25.0,9
3.417,25.0,25.0,30.0,25.0,9
3.5,25.0,25.0,30.0,25.0,9
3.583,25.0,25.0,30.0,27.5,9
3.667,25.0,27.5,32.5,27.5,9
3.75,25.0,27.5,32.5,27.5,9
3.833,27.5,30.0,32.5,30.0,9
3.917,27.5,30.0,32.5,30.0,9
4.0,27.5,30.0,35.0,30.0,9
4.083,30.0,30.0,35.0,30.0,9
4.167,30.0,32.5,35.0,30.0,9
4.25,30.0,32.5,35.0,30.0,9
4.333,32.5,32.5,35.0,30.0,9
4.417,32.5,32.5,37.5,30.0,9
4.5,35.0,32.5,37.5,32.5,9
4.583,35.0,32.5,37.5,32.5,8
4.667,35.0,32.5,40.0,32.5,9
4.75,35.0,35.0,40.0,35.0,9
4.833,35.0,35.0,40.0,35.0,9
4.917,35.0,35.0,42.5,35.0,9
5.0,37.5,37.5,42.5,35.0,9
5.083,37.5,37.5,42.5,37.5,9
5.167,37.5,40.0,42.5,37.5,8
5.25,37.5,40.0,42.5,37.5,8
5.333,40.0,40.0,42.5,40.0,9
5.417,40.0,40.0,45.0,40.0,9
5.5,40.0,40.0,45.0,40.0,9
5.583,42.5,42.5,45.0,40.0,9
5.667,42.5,42.5,45.0,40.0,9
5.75,42.5,42.5,45.0,40.0,9
5.833,45.0,42.5,47.5,40.0,9
5.917,45.0,42.5,47.5,40.0,9
6.0,47.5,42.5,50.0,40.0,9
6.083,47.5,42.5,50.0,40.0,9
6.167,50.0,42.5,50.0,40.0,9
6.25,50.0,42.5,52.5,40.0,9
6.333,52.5,42.5,52.5,40.0,9
6.417,55.0,42.5,52.5,40.0,9
6.5,55.0,42.5,55.0,40.0,9
6.583,57.5,42.5,55.0,42.5,9
6.667,57.5,42.5,55.0,42.5,9
6.75,57.5,42.5,57.5,42.5,9
6.833,57.5,45.0,57.5,45.0,9
6.917,57.5,45.0,57.5,45.0,9
7.0,57.5,47.5,57.5,45.0,8
7.083,57.5,47.5,57.5,45.0,8
7.167,57.5,47.5,60.0,45.0,8
7.25,57.5,47.5,60.0,47.5,8
7.333,57.5,50.0,60.0,47.5,8
7.417,57.5,50.0,60.0,47.5,8
7.5,57.5,50.0,62.5,47.5,8
7.583,57.5,50.0,62.5,50.0,8
7.667,60.0,50.0,62.5,50.0,8
7.75,60.0,50.0,62.5,50.0,8
7.833,60.0,52.5,62.5,50.0,8
7.917,60.0,52.5,62.5,50.0,8
8.0,60.0,52.5,62.5,50.0,8
8.083,60.0,52.5,62.5,50.0,8
8.167,60.0,52.5,62.5,50.0,8
8.25,60.0,52.5,65.0,52.5,8
8.333,60.0,55.0,65.0,52.5,8
8.417,60.0,55.0,65.0,55.0,8
8.5,60.0,55.0,65.0,55.0,8
8.583,60.0,57.5,67.5,55.0,9
8.667,60.0,57.5,67.5,57.5,9
8.75,60.0,60.0,67.5,57.5,9
8.833,60.0,60.0,67.5,57.5,9
8.917,60.0,62.5,67.5,60.0,9
9.0,62.5,62.5,67.5,60.0,9
9.083,62.5,62.5,70.0,60.0,8
9.167,62.5,62.5,70.0,60.0,8
9.25,62.5,65.0,70.0,60.0,8
9.333,62.5,65.0,70.0,60.0,8
9.417,65.0,65.0,70.0,60.0,8
9.5,65.0,65.0,72.5,60.0,8
9.583,67.5,65.0,72.5,60.0,8
9.667,67.5,65.0,72.5,60.0,8
9.75,67.5,65.0,75.0,62.5,8
9.833,67.5,65.0,75.0,62.5,8
9.917,67.5,67.5,75.0,65.0,7
10.0,67.5,67.5,75.0,65.0,6
10.083,67.5,67.5,75.0,65.0,6
10.167,67.5,70.0,77.5,65.0,6
10.25,67.5,70.0,77.5,67.5,6
10.333,67.5,70.0,77.5,67.5,6
10.417,67.5,70.0,77.5,67.5,6
10.5,67.5,70.0,77.5,67.5,7
10.583,67.5,72.5,77.5,67.5,7
10.667,67.5,72.5,77.5,70.0,7
10.75,67.5,72.5,77.5,70.0,6
10.833,67.5,75.0,80.0,70.0,6
10.917,67.5,75.0,80.0,72.5,6
11.0,67.5,75.0,80.0,72.5,6
11.083,67.5,77.5,80.0,72.5,6
11.167,67.5,77.5,80.0,72.5,6
11.25,67.5,77.5,80.0,72.5,6
11.333,67.5,77.5,80.0,75.0,6
11.417,67.5,77.5,82.5,75.0,6
11.5,67.5,77.5,82.5,75.0,6
