time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,12
0.333,0.0,0.0,2.5,2.5,12
0.417,0.0,2.5,5.0,2.5,12
0.5,0.0,2.5,5.0,5.0,12
0.583,0.0,2.5,5.0,5.0,12
0.667,0.0,2.5,7.5,7.5,12
0.75,2.5,5.0,7.5,7.5,12
0.833,2.5,5.0,7.5,7.5,12
0.917,2.5,7.5,7.5,7.5,12
1.0,5.0,7.5,10.0,7.5,12
1.083,7.5,7.5,10.0,10.0,12
1.167,7.5,7.5,10.0,10.0,12
1.25,7.5,7.5,12.5,10.0,12
1.333,10.0,10.0,12.5,12.5,12
1.417,10.0,10.0,12.5,12.5,12
1.5,10.0,12.5,15.0,12.5,12
1.583,12.5,12.5,15.0,15.0,12
1.667,12.5,12.5,15.0,15.0,12
1.75,12.5,15.0,17.5,15.0,12
1.833,15.0,15.0,17.5,15.0,12
1.917,15.0,15.0,17.5,15.0,12
2.0,15.0,15.0,20.0,15.0,12
2.083,17.5,15.0,20.0,17.5,12
2.167,17.5,17.5,20.0,17.5,12
2.25,17.5,17.5,22.5,17.5,12
2.333,17.5,17.5,22.5,22.5,12
2.417,17.5,20.0,22.5,22.5,12
2.5,17.5,20.0,25.0,22.5,12
2.583,17.5,22.5,25.0,25.0,12
2.667,17.5,25.0,25.0,25.0,12
2.75,20.0,25.0,25.0,25.0,12
2.833,20.0,25.0,27.5,25.0,12
2.917,22.5,25.0,27.5,25.0,12
3.0,22.5,25.0,30.0,27.5,12
3.083,25.0,25.0,30.0,27.5,12
3.167,25.0,27.5,30.0,27.5,12
3.25,25.0,27.5,32.5,27.5,12
3.333,27.5,30.0,32.5,27.5,12
3.417,27.5,30.0,32.5,30.0,12
3.5,27.5,30.0,35.0,30.0,12
3.583,30.0,30.0,35.0,32.5,12
3.667,30.0,32.5,35.0,32.5,12
3.75,30.0,35.0,37.5,32.5,12
3.833,30.0,35.0,37.5,35.0,12
3.917,32.5,35.0,37.5,35.0,12
4.0,32.5,37.5,40.0,35.0,12
4.083,32.5,37.5,40.0,37.5,12
4.167,32.5,37.5,40.0,37.5,12
4.25,32.5,40.0,42.5,37.5,12
4.333,35.0,40.0,42.5,40.0,12
4.417,35.0,40.0,42.5,42.5,12
4.5,35.0,42.5,45.0,42.5,12
4.583,35.0,42.5,45.0,42.5,12
4.667,37.5,45.0,45.0,42.5,12
4.75,37.5,45.0,45.0,45.0,12
4.833,37.5,47.5,45.0,45.0,12
4.917,37.5,47.5,47.5,47.5,12
5.0,37.5,50.0,47.5,50.0,12
5.083,37.5,50.0,47.5,50.0,12
5.167,37.5,50.0,50.0,50.0,12
5.25,40.0,52.5,50.0,52.5,12
5.333,40.0,55.0,50.0,52.5,12
5.417,40.0,55.0,50.0,52.5,12
5.5,42.5,55.0,50.0,55.0,12
5.583,42.5,57.5,52.5,55.0,12
5.667,42.5,57.5,52.5,55.0,12
5.75,45.0,60.0,52.5,57.5,12
5.833,45.0,62.5,55.0,57.5,12
5.917,45.0,62.5,55.0,57.5,12
6.0,47.5,62.5,55.0,57.5,12
6.083,47.5,62.5,55.0,60.0,12
6.167,50.0,62.5,57.5,60.0,12
6.25,50.0,65.0,57.5,62.5,12
6.333,50.0,65.0,57.5,62.5,12
6.417,50.0,67.5,57.5,62.5,12
6.5,50.0,67.5,60.0,65.0,12
6.583,52.5,70.0,60.0,65.0,12
6.667,52.5,70.0,62.5,65.0,12
6.75,55.0,70.0,62.5,65.0,12
6.833,57.5,70.0,62.5,65.0,12
6.917,57.5,70.0,62.5,65.0,12
7.0,57.5,70.0,65.0,65.0,12
7.083,60.0,70.0,65.0,67.5,12
7.167,60.0,72.5,67.5,67.5,12
7.25,60.0,72.5,67.5,70.0,12
7.333,62.5,72.5,67.5,70.0,12
7.417,62.5,75.0,70.0,70.0,12
7.5,62.5,75.0,70.0,72.5,11
7.583,65.0,77.5,70.0,72.5,11
7.667,65.0,77.5,70.0,72.5,11
7.75,65.0,77.5,70.0,72.5,11
7.833,65.0,77.5,72.5,75.0,11
7.917,65.0,80.0,72.5,75.0,11
8.0,67.5,80.0,72.5,77.5,11
8.083,67.5,82.5,72.5,77.5,11
8.167,67.5,85.0,75.0,77.5,11
8.25,70.0,85.0,75.0,77.5,11
8.333,70.0,85.0,75.0,80.0,11
8.417,70.0,85.0,77.5,80.0,11
8.5,72.5,85.0,77.5,80.0,11
8.583,72.5,87.5,77.5,82.5,11
8.667,72.5,87.5,80.0,82.5,11
8.75,75.0,87.5,80.0,82.5,11
8.833,77.5,90.0,80.0,82.5,11
8.917,77.5,90.0,80.0,82.5,11
9.0,77.5,90.0,82.5,85.0,11
9.083,80.0,90.0,82.5,85.0,11
9.167,80.0,92.5,82.5,85.0,11
9.25,80.0,92.5,82.5,85.0,11
9.333,80.0,92.5,85.0,87.5,11
9.417,80.0,95.0,85.0,90.0,11
9.5,80.0,95.0,85.0,90.0,11
9.583,80.0,97.5,85.0,90.0,11
9.667,82.5,97.5,87.5,92.5,11
9.75,82.5,97.5,87.5,95.0,11
9.833,82.5,100.0,87.5,95.0,11
9.917,82.5,100.0,90.0,95.0,11
10.0,82.5,100.0,90.0,97.5,11
10.083,85.0,102.5,90.0,97.5,11
10.167,85.0,105.0,90.0,97.5,11
10.25,85.0,105.0,90.0,97.5,11
10.333,87.5,105.0,92.5,97.5,11
10.417,87.5,105.0,92.5,100.0,11
10.5,87.5,107.5,92.5,100.0,11
10.583,90.0,107.5,95.0,100.0,11
10.667,90.0,107.5,95.0,100.0,11
10.75,92.5,107.5,95.0,100.0,11
10.833,92.5,107.5,97.5,100.0,11
10.917,95.0,107.5,97.5,102.5,11
11.0,95.0,110.0,97.5,102.5,11
11.083,95.0,112.5,100.0,102.5,11
11.167,97.5,112.5,100.0,105.0,11
11.25,97.5,112.5,100.0,105.0,11
11.333,97.5,112.5,102.5,105.0,11
11.417,100.0,112.5,102.5,105.0,11
11.5,100.0,115.0,102.5,105.0,11
11.583,100.0,115.0,105.0,105.0,11
11.667,102.5,115.0,105.0,107.5,11
11.75,102.5,115.0,105.0,110.0,11
11.833,102.5,117.5,107.5,110.0,11
11.917,105.0,117.5,107.5,110.0,11
12.0,105.0,120.0,107.5,112.5,11
